foundry_id,foundry_name,foundry_url,release_count
jen-wagner-co,Jen Wagner Co.,https://jenwagner.co/,11
jikji-soft,Jikji Soft,https://www.jikjisoft.com/font,11
manic-type,Manic Type,https://www.manictype.com/,11
tightype,Tightype,https://tightype.com,11
tipografies,Tipografies,https://tipografies.com,11
typesenses,Typesenses,https://typesenses.com/,11
allcaps,AllCaps,https://www.allcapstype.com/,10
avondale-type-co,Avondale Type Co.,https://avondaletypeco.com,10
bold-decisions,Bold Decisions,https://bold-decisions.biz/,10
cotype,CoType,https://cotypefoundry.com/,10
fincker-font-cuisine,Fincker Font Cuisine,https://www.fontcuisine.com/,10
fond-de-riz,Fond de riz,https://fonderiz.fr/,10
forgotten-shapes,Forgotten Shapes,https://forgotten-shapes.com/,10
j-foundry,J Foundry,https://jfoundry.com/,10
lechuga-type,Lechuga Type,https://fonts.antoniolechuga.com/,10
lettersoup,Lettersoup,https://www.lettersoup.de/,10
maxitype,Maxitype,https://maxitype.com/,10
nguyen-gobber,Nguyen Gobber,https://nguyengobber.com/,10
or-type,Or Type,https://ortype.is,10
typerotation,Typerotation,https://typerotation.com,10
muccatypo,muccaTypo,https://www.muccatypo.com/,10
a-is-for,A is for,https://aisforfonts.com/,9
alt-tf,ALT.tf,https://alt-tf.com/,9
aesthetic-type,Aesthetic Type,https://aesthetictype.com/,9
calame-bureau,Calame.Bureau,https://www.arthurcalame.com/,9
camelot-typefaces,Camelot Typefaces,https://camelot-typefaces.com/,9
dunwich-type-founders,Dunwich Type Founders,https://dunwichtype.com/,9
erkin-karamemet,Erkin Karamemet,https://erkinkaramemet.com/,9
jan-fromm,Jan Fromm,https://janfromm.de/,9
metis,Metis,https://metis-foundry.com,9
mota-italic,Mota Italic,http://www.motaitalic.com/,9
nice-to-type,Nice to type,https://nicetotype.jp,9
smuss-type-kiosk,Smuss Type Kiosk,https://typekiosk.smuss.studio/,9
tekio,Tekio,https://store.tekio.work/,9
xo-type-co,XO Type Co.,https://xotype.co/,9
astype-fonts,Astype Fonts,https://astype.de/,8
ecal-typefaces,ECAL Typefaces,https://ecal-typefaces.ch/,8
general-type-studio,General Type Studio,https://www.generaltypestudio.com/,8
power-type,Power Type,https://power-type.com/,8
spoke,Spoke,https://www.spoketype.com/,8
temporary-state,Temporary State,https://type.tmpstate.net/,8
type-supply,Type Supply,https://typesupply.com/,8
universal-thirst,Universal Thirst,https://universalthirst.com/,8
almarena,Almarena,https://almarenafoundry.com/,7
approximate-type,Approximate Type,https://approxtype.com/,7
british-standard-type,British Standard Type,https://www.britishstandardtype.xyz/,7
fatype,Fatype,https://fatype.com,7
francis-chouquet,Francis Chouquet,https://www.francischouquet.com/,7
james-plattner,James Plattner,https://jamesplattner.com/,7
july-type,July Type,https://www.julytype.com/,7
love-letters,Love Letters,http://love-letters.be/,7
mb-type,MB Type,https://mbtype.com/,7
midwest-type,Midwest Type,https://midwesttype.com/,7
nan,NaN,https://www.nan.xyz/,7
nuform,Nuform,https://nuformtype.com/,7
ops-type,OPS Type,http://ourpolitesocietytype.net,7
proof-of-words,Proof of Words,https://proof-of-words.com/,7
supercontinente,Supercontinente,https://www.supercontinente.com,7
vectro,Vectro,https://www.vectrotype.com/,7
weltkern,Weltkern,https://weltkern.com,7
adobe-originals,Adobe Originals,https://adobe.com/type,6
alexandre-crequer,Alexandre Créquer,https://alex-creq.com/,6
carrois-type-design,Carrois Type Design,https://www.carrois.com/,6
darden-studio,Darden Studio,https://www.dardenstudio.com/,6
debi-sementelli,Debi Sementelli,https://debisementelli.com/,6
formerly-known,Formerly Known,https://formerly-known.com/,6
freight-collection,Freight Collection,https://freightcollection.com/,6
jolicia-type,Jolicia Type,https://joliciatype.com/,6
naipe-foundry,Naipe Foundry,https://naipefoundry.com/,6
neue,Neue,https://www.neue.shop/,6
nomad-foundry,Nomad Foundry,https://nomadfoundry.design/,6
reset,Reset Type Studio,https://www.reset-type.com/,6
serpentype,Serpentype,https://www.serpentype.com/,6
shapes-for-cash,Shapes for Cash,https://www.shapesforcash.com/,6
sportsfonts,Sportsfonts,https://sportsfonts.com/,6
studio-muhittin-gunes,Studio Muhittin Güneş,https://gunesmuhittin.com/,6
twintype,Twintype,https://twintype.co/en,6
working-title,Working Title,https://workingtitletypefoundry.be/,6
writtenshape,WrittenShape,https://www.writtenshape.com/,6
art-grootfontein,Art Grootfontein,https://www.grootfontein.net/,5
beasts-of-england,Beasts of England,https://beastsofengland.co/,5
counter-forms,Counter Forms,https://counter-forms.com/,5
en-travaux,En Travaux,https://entravaux.framer.website,5
fuerte-type,Fuerte Type,https://www.fuertetype.com/,5
gs-type,GS-Type,https://gs-type.com/,5
lettermatic,Lettermatic,https://lettermatic.com/,5
ma-ma-type,MA-MA Type,https://ma-ma-type.com/,5
multitudes,Multitudes,https://www.madeformultitudes.com/,5
psy-ops,PSY/OPS,https://www.psyops.com,5
piotr-lapa,Piotr Łapa,https://piotrlapa.com/,5
public-type,Public Type,https://www.publictype.us/,5
pyte-foundry,Pyte Foundry,https://thepytefoundry.net/,5
razzia-type,Razzia Type,https://www.razziatype.com/,5
republish,Republish,https://republi.sh/,5
ruben-prol,Rubén Prol,https://rubenprol.gal/,5
skritur,Skritur,https://www.skritur.eu/,5
sociotype,Sociotype,https://socio-type.com/,5
spaghetype,Spaghetype,https://www.spaghetype.com/,5
typeoca,Typeóca,https://typeoca.com/,5
tupokompanii,Tüpokompanii,https://www.typokompanii.com/,5
victoria-rushton,Victoria Rushton,https://victoriarushton.com/,5
typographies-fr,typographies.fr,https://typographies.fr/,5
blast-foundry,Blast Foundry,https://blast-foundry.com/,4
contemporary-type,Contemporary Type,https://contemporarytype.com/,4
contrast-foundry,Contrast Foundry,https://contrastfoundry.com/,4
dstype,DSType,https://dstype.com,4
daytona-mess,Daytona Mess,https://daytonamess.com/,4
double-zero,Double Zero,https://www.dblzr.com/,4
duong-tran,Dương Trần,,4
edition-studio,Edition.studio,https://edition.studio/,4
franziska-weitgruber,Franziska Weitgruber,https://franziskaweitgruber.com/,4
fredsfonts,FredsFonts,https://fredsfonts.com/,4
inga-plonnigs,Inga Plönnigs,https://www.ingaploennigs.com/,4
letterjuice,Letterjuice,https://letterjuice.cat/,4
monokrom,Monokrom,https://monokrom.no/,4
nouvelle-noire,Nouvelle Noire,https://nouvellenoire.ch/,4
parachute-type-foundry,Parachute Type Foundry,https://parachutefonts.com,4
road-to-venice-type,Road to Venice Type,https://r-vtype.com,4
scannerlicker,Scannerlicker,https://fonts.scannerlicker.net/,4
spirit-bones,Spirit & Bones,https://spiritandbonesdesign.com/,4
type-matters,Type Matters,http://typematters.de,4
zeenesia-studio,Zeenesia Studio,https://zeenesia.com/,4
notyourtype-foundry,notyourtype foundry,https://notyourtype.nl,4
adotbelow,Adotbelow,https://www.adotbelow.com/,3
anton-moglia,Anton Moglia,https://anton.moglia.fr/en/,3
beam-type,Beam Type,https://www.beamtype.com,3
blaze-type,Blaze Type,https://blazetype.eu/,3
boomtype,Boomtype,https://www.boomtype.xyz/,3
c-type,C-Type,https://www.carmen-type.com/,3
caterina-santullo,Caterina Santullo,https://www.instagram.com/caterinasantullo/,3
cubictype,CubicType,https://about.cubictype.com/,3
dinamo,Dinamo,https://abcdinamo.com/,3
font-spectrum,Font Spectrum,https://fontspectrum.com/,3
jakob-fangmeier,Jakob Fangmeier,https://type.design/,3
jonas-type,Jonas Type,https://jonastype.com/,3
kanon-foundry,Kanon Foundry,https://kanonfoundry.com,3
laucke-siebein-type,Laucke Siebein Type,https://type.studio-laucke-siebein.com/,3
margot-leveque,Margot Lévêque,https://margotleveque.com/,3
minjoo-ham,Minjoo Ham,http://minjooham.com/,3
muk-monsalve,Muk Monsalve,https://www.futurefonts.com/muk-monsalve,3
open-source-publishing,Open Source Publishing,http://osp.kitchen/,3
outline-online,Outline Online,https://www.outline-online.com/,3
process-type-foundry,Process Type Foundry,https://processtypefoundry.com/,3
rosetta,Rosetta,https://rosettatype.com/,3
rudiger,Rüdiger,https://www.philippneumeyer.com/,3
suva-type-foundry,SUVA Type Foundry,https://www.suvatypefoundry.ee/,3
sophia-type,Sophia Type,https://cargocollective.com/sophiatai,3
space-type,Space Type,https://spacetypeco.com/,3
workhorse-type-foundry,Workhorse Type Foundry,https://workhorse.studio/,3
yanone,Yanone,https://www.yanone.de/,3
electro-bibliotheque,Électro-bibliothèque,https://electrobibliotheque.org/,3
205tf,205TF,https://www.205.tf/,2
afrotype,Afrotype,https://www.afrotype.com/,2
aieou-tools,Aieou Tools,https://aeiou.tools/,2
alex-slobzheninov,Alex Slobzheninov,,2
bea-korsh,Bea Korsh,https://beakorsh.com/,2
brody-fonts,Brody Fonts,https://brodyfonts.typenetwork.com/,2
cstm-fonts,CSTM Fonts,https://cstmfonts.com/,2
claude-type,Claude Type,https://claudetype.com/,2
dalton-maag,Dalton Maag,https://www.daltonmaag.com/,2
david-einwaller,David Einwaller,https://deinwaller.com/,2
dirtyline-studio,Dirtyline Studio,https://dirtylinestudio.com/,2
elefonts,Elefonts,https://elenaschneider.com/,2
extratype,Extratype,https://extratype.com,2
foster-type,Foster Type,https://www.fostertype.com/,2
furniture,Furniture,https://www.furniture.xyz/,2
hassen-khattak,Hassen Khattak,https://www.futurefonts.com/hassen_khattak,2
helsinki-type-studio,Helsinki Type Studio,https://helsinkitypestudio.com/,2
holdon-type,Holdon Type,https://holdontype.design/,2
kerns-cairns,Kerns & Cairns,https://www.kernsandcairns.com/,2
lapagelepage,Lapagelepage,,2
lift-type,Lift Type,https://www.lift-type.fr/,2
lipi,Lipi,https://lipi.xyz/,2
luis-bandovas,Luis Bandovas,https://satori.pt/,2
manchester-type,Manchester Type,https://www.manchestertype.com/,2
mark-fromberg,Mark Frömberg,https://markfromberg.com/,2
natalie-rauch,Natalie Rauch,https://www.natalie-rauch.com/,2
november,November,https://www.nvmbr.in/,2
novo-typo,Novo Typo,https://www.novotypo.nl/,2
oh-no-type-co,OH no Type Co.,https://ohnotype.co/,2
olof,Olof,http://www.olof.ch/,2
otherwhere-collective,Otherwhere Collective,https://otherwherecollective.com,2
overtype,Overtype,https://www.overtypefoundry.com/,2
o-plerou-studio,O’Plérou Studio,https://foundry.oplerou.studio/,2
paavola-type-studio,Paavola Type Studio,https://www.paavolatype.com/,2
phantom-foundry,Phantom Foundry,http://phantom-foundry.com/,2
pizza-typefaces,Pizza Typefaces,https://typefaces.pizza/,2
quintana-font,Quintana-Font,https://quintana-font.cl/,2
robin-pitchon,Robin Pitchon,https://www.robinpitchon.com/,2
softdrive-r-foundry,Softdrive® Foundry,https://www.softdrivefoundry.com/,2
souvenir-typefaces,Souvenir Typefaces,https://www.souvenirtypefaces.xyz/,2
that-s-weirdo-stuff,That’s Weirdo Stuff,https://www.thatsweirdostuff.com,2
typearture,Typearture,https://www.typearture.com/,2
typetanic,Typetanic,https://gregshutters.com,2
yeah-right-type,Yeah Right Type,https://yeahrighttype.com/,2
indestructible-type,indestructible type*,https://indestructibletype.com,2
abhijit-menon,Abhijit Menon,https://www.futurefonts.com/abhijit,1
adriana-garciduenas,Adriana Garcidueñas,https://www.futurefonts.com/adriana-garciduenas,1
anna-khorash,Anna Khorash,,1
arlyn-ramos,Arlyn Ramos,https://www.futurefonts.com/arlynramos/,1
arphic,Arphic,https://www.arphic.com,1
benn-zorn,Benn Zorn,https://bennzorn.com/,1
black-foundry,Black Foundry,https://black-foundry.com/,1
bonez-designz,Bonez Designz,https://bonezdesignz.com,1
brandon-nickerson-studio,Brandon Nickerson Studio,https://www.bnicks.com/,1
cj-type,CJ Type,https://cjtype.com/,1
cabargatype,CabargaType,https://cabargatype.com/,1
cast-type-foundry,Cast Type Foundry,https://www.c-a-s-t.com/,1
castletype,CastleType,http://castletype.com/,1
compania-tipografica-de-chile,Compañía Tipográfica de Chile,,1
ddott,DDOTT,https://ddott.net/,1
dreamtype,Dreamtype,https://dreamtype.xyz,1
ek-type,Ek Type,https://ektype.in/,1
fabrizio-schiavi-design,Fabrizio Schiavi Design,https://fsd.it,1
familjen-type,Familjen Type,https://familjentype.se/,1
fontador,Fontador,https://fontador.de/,1
fontfabric,Fontfabric,https://fontfabric.com,1
fonts-from-folch,Fonts from Folch,http://www.fontsfromfolch.com/,1
formagari,Formagari,https://formagari.com/,1
