authors,date_basis,foundry_id,foundry_name,foundry_url,has_trial,is_variable,name,raw_created_at,raw_featured_at,raw_last_enriched,raw_typeface_id,release_date,release_date_candidates_count,release_date_confidence,release_date_confidence_score,release_date_initial,release_date_source_type,release_date_source_url,release_status,release_year,scripts,source_id,source_name,source_url,styles
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Meat Buckets,2026-03-07T23:17:56.585915+00:00,,2026-03-07,stereo-typefaces--meat-buckets,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/meat-buckets/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/meat-buckets/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Master Srf,2026-03-07T23:18:03.100838+00:00,,2026-03-07,stereo-typefaces--master-srf,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/master-srf/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/master-srf/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Mark My Words Brotz,2026-03-07T23:21:07.524188+00:00,,2026-03-07,stereo-typefaces--mark-my-words-brotz,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/mark-my-words-brotz/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/mark-my-words-brotz/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Mark My Words,2026-03-07T23:15:20.350113+00:00,,2026-03-07,stereo-typefaces--mark-my-words,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/mark-my-words/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/mark-my-words/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Marguerite,2026-03-07T23:15:05.562142+00:00,,2026-03-07,stereo-typefaces--marguerite,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/marguerite/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/marguerite/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Marcelle,2026-03-07T23:14:16.112926+00:00,,2026-03-07,stereo-typefaces--marcelle,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/marcelle/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/marcelle/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Magnolia Sky,2026-03-07T23:14:58.470055+00:00,,2026-03-07,stereo-typefaces--magnolia-sky,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/magnolia-sky/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/magnolia-sky/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Madame,2026-03-07T23:20:53.389803+00:00,,2026-03-07,stereo-typefaces--madame,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/madame/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/madame/,[]
[],last_enriched,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Leaves And Ground,2026-03-07T23:22:01.31842+00:00,,2026-03-07,stereo-typefaces--leaves-and-ground,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/leaves-and-ground/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/leaves-and-ground/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,La Guapita,2026-03-07T23:16:22.739079+00:00,,2026-03-07,stereo-typefaces--la-guapita,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/la-guapita/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/la-guapita/,[]
"[""Stéphane Lopes""]",created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Julietta,2026-03-07T23:17:49.087581+00:00,,2026-03-07,stereo-typefaces--julietta,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/julietta/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/julietta/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Jasmine & Greentea,2026-03-07T23:18:24.395703+00:00,,2026-03-07,stereo-typefaces--jasmine-greentea,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/jasmine-greentea/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/jasmine-greentea/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Hôtel De Paris,2026-03-07T23:16:55.985517+00:00,,2026-03-07,stereo-typefaces--hotel-de-paris,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/hotel-de-paris/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/hotel-de-paris/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Huntress,2026-03-07T23:14:30.288603+00:00,,2026-03-07,stereo-typefaces--huntress,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/huntress/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/huntress/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Hot Summer Bundle Extended Licence Upgrade,2026-03-07T23:19:28.053053+00:00,,2026-03-07,stereo-typefaces--hot-summer-bundle-extended-licence-upgrade,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/hot-summer-bundle-extended-licence-upgrade/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/hot-summer-bundle-extended-licence-upgrade/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Holly And Berries,2026-03-07T23:21:45.516963+00:00,,2026-03-07,stereo-typefaces--holly-and-berries,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/holly-and-berries/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/holly-and-berries/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Halloweek Piccollage,2026-03-07T23:21:33.608121+00:00,,2026-03-07,stereo-typefaces--halloweek-piccollage,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/halloweek-piccollage/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/halloweek-piccollage/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Halloweek,2026-03-07T23:21:20.228567+00:00,,2026-03-07,stereo-typefaces--halloweek,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/halloweek/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/halloweek/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Grand Aventure,2026-03-07T23:18:50.221655+00:00,,2026-03-07,stereo-typefaces--grand-aventure,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/grand-aventure/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/grand-aventure/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Gloss And Bloom Webfont Licence Upgrade,2026-03-07T23:20:22.091344+00:00,,2026-03-07,stereo-typefaces--gloss-and-bloom-webfont-licence-upgrade,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/gloss-and-bloom-webfont-licence-upgrade/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/gloss-and-bloom-webfont-licence-upgrade/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Gloss And Bloom Unlimited Avon,2026-03-07T23:19:22.673693+00:00,,2026-03-07,stereo-typefaces--gloss-and-bloom-unlimited-avon,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/gloss-and-bloom-unlimited-avon/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/gloss-and-bloom-unlimited-avon/,[]
"[""Sean Delloro""]",created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Gloss & Bloom,2026-03-07T23:16:15.141725+00:00,,2026-03-07,stereo-typefaces--gloss-bloom,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/gloss-bloom/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/gloss-bloom/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Frakturika,2026-03-07T23:13:46.626673+00:00,,2026-03-07,stereo-typefaces--frakturika,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/frakturika/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/frakturika/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Docktrin,2026-03-07T23:14:22.612257+00:00,,2026-03-07,stereo-typefaces--docktrin,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/docktrin/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/docktrin/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Custombundle,2026-03-07T23:17:43.573024+00:00,,2026-03-07,stereo-typefaces--custombundle,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/custombundle/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/custombundle/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Christmas Bundle Webfont Licence Upgrade,2026-03-07T23:19:10.083136+00:00,,2026-03-07,stereo-typefaces--christmas-bundle-webfont-licence-upgrade,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/christmas-bundle-webfont-licence-upgrade/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/christmas-bundle-webfont-licence-upgrade/,[]
"[""Sean Delloro""]",created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Bundle 5,2026-03-07T23:18:16.270961+00:00,,2026-03-07,stereo-typefaces--bundle-5,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/bundle-5/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/bundle-5/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Bundle 4,2026-03-07T23:17:37.196584+00:00,,2026-03-07,stereo-typefaces--bundle-4,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/bundle-4/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/bundle-4/,[]
"[""Sean Delloro""]",created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Bundle 3,2026-03-07T23:17:23.768122+00:00,,2026-03-07,stereo-typefaces--bundle-3,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/bundle-3/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/bundle-3/,[]
"[""Sean Delloro""]",created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Bundle 2,2026-03-07T23:17:15.302498+00:00,,2026-03-07,stereo-typefaces--bundle-2,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/bundle-2/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/bundle-2/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Bundle 1,2026-03-07T23:17:02.725715+00:00,,2026-03-07,stereo-typefaces--bundle-1,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/bundle-1/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/bundle-1/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Broadcast Matter Webfont Licence Upgrade,2026-03-07T23:18:39.635197+00:00,,2026-03-07,stereo-typefaces--broadcast-matter-webfont-licence-upgrade,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/broadcast-matter-webfont-licence-upgrade/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/broadcast-matter-webfont-licence-upgrade/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Broadcast Matter,2026-03-07T23:16:40.446041+00:00,,2026-03-07,stereo-typefaces--broadcast-matter,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/broadcast-matter/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/broadcast-matter/,[]
[],created_at,stereo-typefaces,Stereo Type,https://www.stereo-type.fr/,False,False,Broadcast Matter,2026-03-07T23:19:32.870288+00:00,,2026-03-07,stereo-typefaces--broadcast-matter-webfont-license,2026-03-07,1,low,0.35,2026-03-07,existing,https://www.stereo-type.fr/fonts/broadcast-matter-webfont-license/,,,[],catalog_snapshot,Catalog Snapshot,https://www.stereo-type.fr/fonts/broadcast-matter-webfont-license/,[]
