designer_id,foundry_id,role,source
huang-zhi-yang,arphic,designer,designers.affiliations
julia-friese,type-o-tones,designer,designers.affiliations
fedor-abroskin,kiosk-fonts,designer,designers.affiliations
marilia-garcia,papanapa,designer,designers.affiliations
anastasia-vrublevskaya,typetype-foundry,designer,designers.affiliations
julien-imbert,studio-triple,designer,designers.affiliations
jimmy-le-guennec,b-v-h-type,designer,designers.affiliations
louise-drulhe,studio-triple,designer,designers.affiliations
karel-martens,jung-lee-type-foundry,designer,designers.affiliations
karol-mularczyk,big-type,designer,designers.affiliations
karol-mularczyk,blaze-type,designer,designers.affiliations
karol-mularczyk,the-designers-foundry,designer,designers.affiliations
kasper-pyndt-rasmussen,formula-type,designer,designers.affiliations
kasper-pyndt-rasmussen,approximate-type,designer,designers.affiliations
adrien-menard,edition-studio,designer,designers.affiliations
kazuhiro-yamada,typotheque,designer,designers.affiliations
kazuhiro-yamada,tptq-arabic,designer,designers.affiliations
kazuhiro-yamada,sharp-type,designer,designers.affiliations
sonia-da-rocha,studio-triple,designer,designers.affiliations
kent-lew,kent-lew,designer,designers.affiliations
kyle-read,badson,designer,designers.affiliations
marina-mouco,papanapa,designer,designers.affiliations
manon-rousseau,studio-triple,designer,designers.affiliations
indian-type-foundry,dirk-wachowiak,designer,designers.affiliations
arthur-schwarz,extraset,designer,designers.affiliations
arthur-schwarz,production-type,designer,designers.affiliations
arthur-schwarz,lo-ol-type-foundry,designer,designers.affiliations
arthur-schwarz,bolid-system,Co-Founder,designers.affiliations
daniel-johnson,cyreal,designer,designers.affiliations
eugene-spizhovy,cyreal,designer,designers.affiliations
laucke-siebein,laucke-siebein-type,designer,designers.affiliations
pablo-impallari,cyreal,designer,designers.affiliations
stephanie-cazaentre,studio-triple,designer,designers.affiliations
adrien-vasquez,abyme,designer,designers.affiliations
thiago-bellotti,papanapa,designer,designers.affiliations
anthony-masure,studio-triple,designer,designers.affiliations
felipe-saraiva,papanapa,designer,designers.affiliations
sheila-levrant-de-bretteville,dirk-wachowiak,designer,designers.affiliations
alberto-romanos,branding-with-type,designer,designers.affiliations
oleg-frolov,cyreal,designer,designers.affiliations
laura-opsomer-mironov,dinamo,designer,designers.affiliations
laura-varsky,sudtipos,designer,designers.affiliations
laure-azizi,velvetyne,designer,designers.affiliations
lena-le-pommelet,sharp-type,designer,designers.affiliations
lena-le-pommelet,nuform,designer,designers.affiliations
leo-guibert,proof-of-words,designer,designers.affiliations
leo-guibert,letters-from-sweden,designer,designers.affiliations
leo-guibert,typofonderie,designer,designers.affiliations
w-a-dwiggins-unlike-other-digital-adaptations-of-electra,hex-projects,designer,designers.affiliations
papanapa,papanapa,designer,designers.affiliations
winther-milton,papanapa,founder's grandfather (namesake),designers.affiliations
afotey-clement,aayalolo,designer,designers.affiliations
carmen-dusmet-carrasco,celine-hurka-type-foundry,designer,designers.affiliations
alex-slobzheninov,flight-mode,Founder,designers.affiliations
alex-slobzheninov,pangram-pangram,designer,designers.affiliations
alex-slobzheninov,alex-slobzheninov,designer,designers.affiliations
alex-slobzheninov,studio-triple,designer,designers.affiliations
alex-slobzheninov,contemporary-type,Founder,designers.affiliations
agathe-millet,en-travaux,designer,designers.affiliations
j-l-mathieu-lauweriks,hex-projects,designer,designers.affiliations
agnese-addone,cast-type-foundry,designer,designers.affiliations
alex-dujet,extraset,designer,designers.affiliations
andreas-faust,dreamtype,designer,designers.affiliations
guldana-tauasar,cyreal,designer,designers.affiliations
nikita-kanarev,cyreal,designer,designers.affiliations
